アンパサンド	記号
エスペラント	エスペラント, 人工言語
言語	言語, 言語学, 民族
日本語	日本語, Japanese language, 国語
地理学	地理学
欧州連合	欧州連合
国の一覧	一覧, 国
漫画	漫画, 娯楽, Comics
日本	日本, 島国, 君主国
フランス	France, フランス, G8加盟国
パリ	フランスの都市, ローマ都市, パリ, イル＝ド＝フランス
ヨーロッパ	ヨーロッパ
ジミー・カーター	アメリカ合衆国の大統領, ノーベル平和賞受賞者, ジョージア州知事, ジョージア州の人物, 1924年生
生物	生物, 地球, 地球史
センタイ類	植物学, コケ植物
社会学	社会学
古代エジプト	古代エジプト, 考古学
エジプト	エジプト, イスラム教国
著作権の保護期間	著作権法
東京	Tokyo, 東京都, 東京23区の地域, 関東地方, 日本の都市
台東区	特別区, 台東区
地理	地理, 教科
生物学	Biology, 生物学, 自然科学, 理学
社会	社会
こどもの文化	子供の遊び, 子供, 育児
特撮	特撮, SF, テレビドラマ
日常生活	生活, 文化, 人の行動
情報工学	情報工学, 情報学, 計算科学
形式言語	言語学, 形式言語, 構文解析 (プログラミング)
文脈自由言語	形式言語, 構文解析 (プログラミング)
正規言語	形式言語
自然言語処理	言語学, 自然言語処理
自然言語	言語の分類, 言語学
プログラミング言語	プログラミング言語, コンピュータ言語
人工知能	情報工学, 人工知能, 心の哲学, ユーザインターフェイス (コンピュータ), SF
オーストリア	オーストリア, 内陸国
GNU Free Documentation License	ライセンス, 知的財産権, フリーソフトウェア財団
社会学者の一覧	社会学者, 学者の人名一覧
オランダ	オランダ, 君主国
ゴーダチーズ	チーズ, オランダの食文化
バールーフ・デ・スピノザ	オランダ史の人物, オランダの哲学者, ユダヤ教改革派, 破門, 17世紀の学者
文脈自由文法	形式言語
フランス語	フランス語, フランスの言語, カナダの言語, スイスの言語, ベルギーの言語, レバノンの言語, モロッコの言語, コンゴ共和国の言語, コンゴ民主共和国の言語, チュニジアの言語, カメルーンの言語, マリ共和国の言語, セネガルの言語, トーゴの言語, ルワンダの言語, ブルンジの言語, ベナンの言語, コートジボワールの言語, インド・ヨーロッパ語族
イタリア語	イタリア語, イタリアの言語, インド・ヨーロッパ語族
スペイン語	スペイン語, スペインの言語, アルゼンチンの言語, メキシコの言語, ボリビアの言語, チリの言語, コロンビアの言語, パラグアイの言語, ウルグアイの言語, イタリック語派
宗教学	宗教学, 人文科学, 宗教
音楽	Music, 音楽

