アンパサンド	約物, ラテン語の語句, 論理記号
言語	言語, 言語学, 民族
日本語	日本語, 日本の言語, 日琉語族, 膠着語, SOV型言語
地理学	地理学, 社会科学, 人文科学, 自然科学, 地球科学の分野
EU (曖昧さ回避)	
国の一覧	国の一覧, 国名, 各国の地理
SandBox	
パリ	パリ, フランスの都市, ヨーロッパの首都, フランスの地域圏首府, 世界歴史都市連盟
ヨーロッパ	ヨーロッパ
生物	生物, 地球史
コケ植物	植物学, 陸上植物, コケ植物
HomePage	
社会学	社会学, オーギュスト・コント, 実証主義
古代エジプト	古代エジプト
エジプト	エジプト, 共和国, 軍事政権, フランコフォニー加盟国, 国際連合加盟国, アフリカ連合加盟国, イスラム協力機構加盟国
著作権の保護期間	著作権の保護期間, 著作権法, 独占
台東区	台東区, 東京都の特別区, 健康都市連合
地理	地理
生物学	生物学, 理学, 生命科学, 生物学の分野
社会	社会, 和製漢語, 哲学の和製漢語
こどもの文化	子供の遊び, 子供, 育児, テーマ別の文化
特撮	特撮, 映像作品, SFのジャンル, ホラーのジャンル, テレビドラマのジャンル, テレビ番組のジャンル
日常生活	生活, 文化用語, 人の一生
情報工学	情報工学, 情報学
形式言語	文法, 理論計算機科学, 形式言語, 構文解析 (プログラミング), 数学に関する記事, メタ論理学
文脈自由言語	形式言語, 構文解析 (プログラミング), 数学に関する記事
正規言語	有限オートマトン, 形式言語, 数学に関する記事
自然言語処理	言語学, 自然言語処理, 研究の計算分野
自然言語	諸言語, 言語学, 哲学的論理学, レトロニム
プログラミング言語	プログラミング言語, コンピュータ言語, プログラミング
人工知能	人工知能, 計算機科学, 情報工学, 工業, 工学, エンジニアリング, プログラミング, 情報通信業, 研究開発, 研究の計算分野, 計算論的神経科学, サイバネティックス, コンピュータのユーザインタフェース, 新技術, 形式科学, 計算機科学の未解決問題, 科学技術の倫理, 心の哲学
オーストリア	Österreichische Sprache, オーストリアの食文化, オーストリア, 内陸国, 欧州連合加盟国, 共和国, 連邦制国家, フランコフォニーのオブザーバー, 国際連合加盟国
GNU Free Documentation License	ライセンス, コピーレフト, 知的財産権, フリーソフトウェア財団, GNU Free Documentation License, 2008年設立
社会学者の一覧	社会学者, 学者の人名一覧
ゴーダチーズ	オランダのチーズ, 牛乳のチーズ
